"","Dam","Date","Storage","Capacity","PercentDamCapacity","PercentTotalCapacity"
"1","Alexandra",2012-01-01,99.9,134,0.745522388059702,0.000110744794772934
"2","Alexandra",2012-01-02,99.2,134,0.740298507462687,0.000109968805219971
"3","Alexandra",2012-01-03,98.7,134,0.736567164179105,0.000109414526967854
"4","Alexandra",2012-01-04,99.2,134,0.740298507462687,0.000109968805219971
"5","Alexandra",2012-01-05,98.9,134,0.738059701492537,0.000109636238268701
"6","Alexandra",2012-01-06,98.5,134,0.735074626865672,0.000109192815667007
"7","Alexandra",2012-01-07,97.7,134,0.72910447761194,0.000108305970463621
"8","Alexandra",2012-01-08,97.3,134,0.726119402985075,0.000107862547861927
"9","Alexandra",2012-01-09,96.8,134,0.722388059701493,0.00010730826960981
"10","Alexandra",2012-01-10,95.8,134,0.714925373134328,0.000106199713105577
"11","Alexandra",2012-01-11,95.4,134,0.711940298507463,0.000105756290503883
"12","Alexandra",2012-01-12,95.1,134,0.709701492537313,0.000105423723552613
"13","Alexandra",2012-01-13,94.4,134,0.704477611940299,0.00010464773399965
"14","Alexandra",2012-01-14,93.9,134,0.700746268656716,0.000104093455747533
"15","Alexandra",2012-01-15,93.2,134,0.695522388059702,0.000103317466194569
"16","Alexandra",2012-01-16,92.8,134,0.692537313432836,0.000102874043592876
"17","Alexandra",2012-01-17,92.3,134,0.688805970149254,0.000102319765340759
"18","Alexandra",2012-01-18,91.6,134,0.683582089552239,0.000101543775787796
"19","Alexandra",2012-01-19,90.9,134,0.678358208955224,0.000100767786234832
"20","Alexandra",2012-01-20,90.4,134,0.674626865671642,0.000100213507982715
"21","Alexandra",2012-01-21,89.4,134,0.667164179104478,9.91049514784818e-05
"22","Alexandra",2012-01-22,88.9,134,0.663432835820896,9.8550673226365e-05
"23","Alexandra",2012-01-23,88.2,134,0.658208955223881,9.77746836734015e-05
"24","Alexandra",2012-01-24,88.2,134,0.658208955223881,9.77746836734015e-05
"25","Alexandra",2012-01-25,88.2,134,0.658208955223881,9.77746836734015e-05
"26","Alexandra",2012-01-26,87.8,134,0.655223880597015,9.73312610717081e-05
"27","Alexandra",2012-01-27,86.8,134,0.647761194029851,9.62227045674745e-05
"28","Alexandra",2012-01-28,86.6,134,0.646268656716418,9.60009932666278e-05
"29","Alexandra",2012-01-29,85.9,134,0.641044776119403,9.52250037136643e-05
"30","Alexandra",2012-01-30,84.7,134,0.632089552238806,9.3894735908584e-05
"31","Alexandra",2012-01-31,84.7,134,0.632089552238806,9.3894735908584e-05
"32","Alexandra",2012-02-01,84.7,134,0.632089552238806,9.3894735908584e-05
"33","Alexandra",2012-02-02,84.5,134,0.630597014925373,9.36730246077373e-05
"34","Alexandra",2012-02-03,84.3,134,0.62910447761194,9.34513133068906e-05
"35","Alexandra",2012-02-04,83.4,134,0.622388059701493,9.24536124530803e-05
"36","Alexandra",2012-02-05,80.5,134,0.600746268656716,8.9238798590803e-05
"37","Alexandra",2012-02-06,78,134,0.582089552238806,8.6467407330219e-05
"38","Alexandra",2012-02-07,78,134,0.582089552238806,8.6467407330219e-05
"39","Alexandra",2012-02-08,73.9,134,0.551492537313433,8.19223256628614e-05
"40","Alexandra",2012-02-09,71.4,134,0.532835820895522,7.91509344022774e-05
"41","Alexandra",2012-02-10,68.1,134,0.508208955223881,7.54926979383066e-05
"42","Alexandra",2012-02-11,65.4,134,0.488059701492537,7.2499595376876e-05
"43","Alexandra",2012-02-12,62.2,134,0.464179104477612,6.89522145633285e-05
"44","Alexandra",2012-02-13,61.2,134,0.456716417910448,6.78436580590949e-05
"45","Alexandra",2012-02-14,58.8,134,0.438805970149254,6.51831224489343e-05
"46","Alexandra",2012-02-15,56.6,134,0.422388059701493,6.27442981396205e-05
"47","Alexandra",2012-02-16,54.7,134,0.408208955223881,6.06380407815767e-05
"48","Alexandra",2012-02-17,51.6,134,0.385074626865672,5.72015156184526e-05
"49","Alexandra",2012-02-18,50.6,134,0.377611940298507,5.6092959114219e-05
"50","Alexandra",2012-02-19,47.9,134,0.357462686567164,5.30998565527883e-05
"51","Alexandra",2012-02-20,46.3,134,0.345522388059701,5.13261661460146e-05
"52","Alexandra",2012-02-21,44.7,134,0.333582089552239,4.95524757392409e-05
"53","Alexandra",2012-02-22,44.7,134,0.333582089552239,4.95524757392409e-05
"54","Alexandra",2012-02-23,43.9,134,0.327611940298507,4.8665630535854e-05
"55","Alexandra",2012-02-24,44.6,134,0.332835820895522,4.94416200888175e-05
"56","Alexandra",2012-02-25,44.6,134,0.332835820895522,4.94416200888175e-05
"57","Alexandra",2012-02-26,44.6,134,0.332835820895522,4.94416200888175e-05
"58","Alexandra",2012-02-27,44.5,134,0.332089552238806,4.93307644383942e-05
"59","Alexandra",2012-02-28,44.3,134,0.330597014925373,4.91090531375475e-05
"60","Alexandra",2012-02-29,44.3,134,0.330597014925373,4.91090531375475e-05
"61","Alexandra",2012-03-01,44.2,134,0.329850746268657,4.89981974871241e-05
"62","Alexandra",2012-03-02,44.2,134,0.329850746268657,4.89981974871241e-05
"63","Alexandra",2012-03-03,44.2,134,0.329850746268657,4.89981974871241e-05
"64","Alexandra",2012-03-04,44.1,134,0.32910447761194,4.88873418367008e-05
"65","Alexandra",2012-03-05,44.1,134,0.32910447761194,4.88873418367008e-05
"66","Alexandra",2012-03-06,43.8,134,0.326865671641791,4.85547748854307e-05
"67","Alexandra",2012-03-07,43.6,134,0.325373134328358,4.8333063584584e-05
"68","Alexandra",2012-03-08,43.4,134,0.323880597014925,4.81113522837373e-05
"69","Alexandra",2012-03-09,43.4,134,0.323880597014925,4.81113522837373e-05
"70","Alexandra",2012-03-10,43.1,134,0.321641791044776,4.77787853324672e-05
"71","Alexandra",2012-03-11,43.1,134,0.321641791044776,4.77787853324672e-05
"72","Alexandra",2012-03-12,43.1,134,0.321641791044776,4.77787853324672e-05
"73","Alexandra",2012-03-13,43.1,134,0.321641791044776,4.77787853324672e-05
"74","Alexandra",2012-03-14,43,134,0.32089552238806,4.76679296820438e-05
"75","Alexandra",2012-03-15,43,134,0.32089552238806,4.76679296820438e-05
"76","Alexandra",2012-03-16,43,134,0.32089552238806,4.76679296820438e-05
"77","Alexandra",2012-03-17,42.8,134,0.319402985074627,4.74462183811971e-05
"78","Alexandra",2012-03-18,43.2,134,0.322388059701493,4.78896409828905e-05
"79","Alexandra",2012-03-19,43.2,134,0.322388059701493,4.78896409828905e-05
"80","Alexandra",2012-03-20,43.2,134,0.322388059701493,4.78896409828905e-05
"81","Alexandra",2012-03-21,43.2,134,0.322388059701493,4.78896409828905e-05
"82","Alexandra",2012-03-22,43.2,134,0.322388059701493,4.78896409828905e-05
"83","Alexandra",2012-03-23,43.1,134,0.321641791044776,4.77787853324672e-05
"84","Alexandra",2012-03-24,43.1,134,0.321641791044776,4.77787853324672e-05
"85","Alexandra",2012-03-25,43.1,134,0.321641791044776,4.77787853324672e-05
"86","Alexandra",2012-03-26,43.1,134,0.321641791044776,4.77787853324672e-05
"87","Alexandra",2012-03-27,43,134,0.32089552238806,4.76679296820438e-05
"88","Alexandra",2012-03-28,42.8,134,0.319402985074627,4.74462183811971e-05
"89","Alexandra",2012-03-29,42.8,134,0.319402985074627,4.74462183811971e-05
"90","Alexandra",2012-03-30,42.8,134,0.319402985074627,4.74462183811971e-05
"91","Alexandra",2012-03-31,43.2,134,0.322388059701493,4.78896409828905e-05
"92","Alexandra",2012-04-01,43.2,134,0.322388059701493,4.78896409828905e-05
"93","Alexandra",2012-04-02,43.2,134,0.322388059701493,4.78896409828905e-05
"94","Alexandra",2012-04-03,43.2,134,0.322388059701493,4.78896409828905e-05
"95","Alexandra",2012-04-04,43.2,134,0.322388059701493,4.78896409828905e-05
"96","Alexandra",2012-04-05,43.2,134,0.322388059701493,4.78896409828905e-05
"97","Alexandra",2012-04-06,43.2,134,0.322388059701493,4.78896409828905e-05
"98","Alexandra",2012-04-07,43.2,134,0.322388059701493,4.78896409828905e-05
"99","Alexandra",2012-04-08,44.1,134,0.32910447761194,4.88873418367008e-05
"100","Alexandra",2012-04-09,45.7,134,0.341044776119403,5.06610322434745e-05
"101","Alexandra",2012-04-10,49.3,134,0.367910447761194,5.46518356587154e-05
"102","Alexandra",2012-04-11,51.6,134,0.385074626865672,5.72015156184526e-05
"103","Alexandra",2012-04-12,51.6,134,0.385074626865672,5.72015156184526e-05
"104","Alexandra",2012-04-13,51.6,134,0.385074626865672,5.72015156184526e-05
"105","Alexandra",2012-04-14,51.3,134,0.382835820895522,5.68689486671825e-05
"106","Alexandra",2012-04-15,51.3,134,0.382835820895522,5.68689486671825e-05
"107","Alexandra",2012-04-16,52.1,134,0.388805970149254,5.77557938705694e-05
"108","Alexandra",2012-04-17,51.5,134,0.384328358208955,5.70906599680292e-05
"109","Alexandra",2012-04-18,51.5,134,0.384328358208955,5.70906599680292e-05
"110","Alexandra",2012-04-19,51.5,134,0.384328358208955,5.70906599680292e-05
"111","Alexandra",2012-04-20,51.1,134,0.38134328358209,5.66472373663358e-05
"112","Alexandra",2012-04-21,51.1,134,0.38134328358209,5.66472373663358e-05
"113","Alexandra",2012-04-22,50.8,134,0.37910447761194,5.63146704150657e-05
"114","Alexandra",2012-04-23,50.6,134,0.377611940298507,5.6092959114219e-05
"115","Alexandra",2012-04-24,50.6,134,0.377611940298507,5.6092959114219e-05
"116","Alexandra",2012-04-25,50.4,134,0.376119402985075,5.58712478133723e-05
"117","Alexandra",2012-04-26,50.4,134,0.376119402985075,5.58712478133723e-05
"118","Alexandra",2012-04-27,50.1,134,0.373880597014925,5.55386808621022e-05
"119","Alexandra",2012-04-28,50.3,134,0.375373134328358,5.57603921629489e-05
"120","Alexandra",2012-04-29,50.4,134,0.376119402985075,5.58712478133723e-05
"121","Alexandra",2012-04-30,50.6,134,0.377611940298507,5.6092959114219e-05
"122","Alexandra",2012-05-01,50.8,134,0.37910447761194,5.63146704150657e-05
"123","Alexandra",2012-05-02,53.5,134,0.399253731343284,5.93077729764964e-05
"124","Alexandra",2012-05-03,54.4,134,0.405970149253731,6.03054738303066e-05
"125","Alexandra",2012-05-04,58.1,134,0.433582089552239,6.44071328959708e-05
"126","Alexandra",2012-05-05,61.3,134,0.457462686567164,6.79545137095183e-05
"127","Alexandra",2012-05-06,63.6,134,0.474626865671642,7.05041936692555e-05
"128","Alexandra",2012-05-07,66,134,0.492537313432836,7.31647292794161e-05
"129","Alexandra",2012-05-08,67.6,134,0.504477611940298,7.49384196861898e-05
"130","Alexandra",2012-05-09,67.6,134,0.504477611940298,7.49384196861898e-05
"131","Alexandra",2012-05-10,67.2,134,0.501492537313433,7.44949970844964e-05
"132","Alexandra",2012-05-11,67.2,134,0.501492537313433,7.44949970844964e-05
"133","Alexandra",2012-05-12,66.6,134,0.497014925373134,7.38298631819562e-05
"134","Alexandra",2012-05-13,66.6,134,0.497014925373134,7.38298631819562e-05
"135","Alexandra",2012-05-14,66.6,134,0.497014925373134,7.38298631819562e-05
"136","Alexandra",2012-05-15,68.5,134,0.511194029850746,7.593612054e-05
"137","Alexandra",2012-05-16,70.1,134,0.523134328358209,7.77098109467738e-05
"138","Alexandra",2012-05-17,70.1,134,0.523134328358209,7.77098109467738e-05
"139","Alexandra",2012-05-18,70.1,134,0.523134328358209,7.77098109467738e-05
"140","Alexandra",2012-05-19,72.2,134,0.538805970149254,8.00377796056643e-05
"141","Alexandra",2012-05-20,67.4,134,0.502985074626866,7.47167083853431e-05
"142","Alexandra",2012-05-21,74.1,134,0.552985074626866,8.21440369637081e-05
"143","Alexandra",2012-05-22,73.5,134,0.548507462686567,8.14789030611679e-05
"144","Alexandra",2012-05-23,73.7,134,0.55,8.17006143620147e-05
"145","Alexandra",2012-05-24,73.7,134,0.55,8.17006143620147e-05
"146","Alexandra",2012-05-25,73.5,134,0.548507462686567,8.14789030611679e-05
"147","Alexandra",2012-05-26,74.1,134,0.552985074626866,8.21440369637081e-05
"148","Alexandra",2012-05-27,75.9,134,0.566417910447761,8.41394386713285e-05
"149","Alexandra",2012-05-28,83.4,134,0.622388059701493,9.24536124530803e-05
"150","Alexandra",2012-05-29,84.3,134,0.62910447761194,9.34513133068906e-05
"151","Alexandra",2012-05-30,84.3,134,0.62910447761194,9.34513133068906e-05
"152","Alexandra",2012-05-31,87.5,134,0.652985074626866,9.6998694120438e-05
"153","Alexandra",2012-06-01,87.5,134,0.652985074626866,9.6998694120438e-05
"154","Alexandra",2012-06-02,87,134,0.649253731343284,9.64444158683212e-05
"155","Alexandra",2012-06-03,90.1,134,0.672388059701493,9.98809410314453e-05
"156","Alexandra",2012-06-04,89.9,134,0.67089552238806,9.96592297305986e-05
"157","Alexandra",2012-06-05,88,134,0.656716417910448,9.75529723725548e-05
"158","Alexandra",2012-06-06,86.6,134,0.646268656716418,9.60009932666278e-05
"159","Alexandra",2012-06-07,85.4,134,0.637313432835821,9.46707254615475e-05
